date,ticker,simfinid_x,open,high,low,close,adj._close,volume,dividend,shares_outstanding,simfinid_y,company_name,industryid,isin,end_of_financial_year_(month),market,main_currency,ma_5,ma_20,volatility_10,price_movement
2019-03-29,AAPL,111052,47.46,47.52,47.13,47.49,45.5,94255844,0.0,18861120000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.5,45.5,0.18724909132215,1
2019-04-01,AAPL,111052,47.91,47.92,47.09,47.81,45.81,111447856,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.655,45.655,0.21920310216783134,1
2019-04-02,AAPL,111052,47.77,48.62,47.76,48.51,46.47,91062928,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,45.92666666666667,45.92666666666667,0.49541228621556355,1
2019-04-03,AAPL,111052,48.31,49.12,48.29,48.84,46.79,93087320,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,46.1425,46.1425,0.5915727625012257,1
2019-04-04,AAPL,111052,48.7,49.09,48.28,48.92,46.87,76457100,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,46.288,46.288,0.6068937304009646,1
2019-04-05,AAPL,111052,49.11,49.27,48.98,49.25,47.19,74106576,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,46.626,46.43833333333333,0.6559395297332411,1
2019-04-08,AAPL,111052,49.1,50.06,49.09,50.02,47.93,103526788,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.05,46.651428571428575,0.8224440927590676,0
2019-04-09,AAPL,111052,50.08,50.71,49.81,49.88,47.79,143072948,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.314,46.79375,0.8612936698445466,1
2019-04-10,AAPL,111052,49.67,50.19,49.55,50.16,48.06,86781152,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.568,46.93444444444444,0.9095343741595372,0
2019-04-11,AAPL,111052,50.21,50.25,49.61,49.74,47.66,83603232,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.726,47.007,0.8876817497779779,0
2019-04-12,AAPL,111052,49.8,50.03,49.05,49.72,47.64,111042672,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.815999999999995,47.06454545454546,0.7275140319379929,1
2019-04-15,AAPL,111052,49.65,49.96,49.5,49.81,47.72,70146584,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.774,47.119166666666665,0.5433190182163413,0
2019-04-16,AAPL,111052,49.87,50.34,49.64,49.81,47.73,102785540,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.762,47.16615384615385,0.43611415427107014,1
2019-04-17,AAPL,111052,49.88,50.84,49.65,50.78,48.66,115627120,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,47.882,47.27285714285714,0.47859168400633456,1
2019-04-18,AAPL,111052,50.78,51.04,50.63,50.97,48.83,96783064,0.0,18429136000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,48.116,47.376666666666665,0.49072395498897753,1
2019-04-22,AAPL,111052,50.71,51.23,50.59,51.13,48.99,77758180,0.0,18404300000.0,111052,APPLE INC,101001.0,US0378331005,9.0,us,USD,48.386,47.4775,0.5219291139609187,1
