date,ticker,close,Predicted Signal
2019-03-29,AAPL,47.49,1
2019-04-01,AAPL,47.81,1
2019-04-02,AAPL,48.51,1
2019-04-03,AAPL,48.84,1
2019-04-04,AAPL,48.92,1
2019-04-05,AAPL,49.25,1
2019-04-08,AAPL,50.02,1
2019-04-09,AAPL,49.88,1
2019-04-10,AAPL,50.16,1
2019-04-11,AAPL,49.74,1
2019-04-12,AAPL,49.72,1
2019-04-15,AAPL,49.81,1
2019-04-16,AAPL,49.81,1
2019-04-17,AAPL,50.78,1
2019-04-18,AAPL,50.97,1
2019-04-22,AAPL,51.13,1
2019-04-23,AAPL,51.87,0
2019-04-24,AAPL,51.79,0
2019-04-25,AAPL,51.32,0
2019-04-26,AAPL,51.08,0
2019-04-29,AAPL,51.15,1
2019-04-30,AAPL,50.17,1
2019-05-01,AAPL,52.63,1
2019-05-02,AAPL,52.29,1
2019-05-03,AAPL,52.94,0
2019-05-06,AAPL,52.12,1
2019-05-07,AAPL,50.72,1
2019-05-08,AAPL,50.73,1
2019-05-09,AAPL,50.18,1
2019-05-10,AAPL,49.3,0
2019-05-13,AAPL,46.43,1
2019-05-14,AAPL,47.16,0
2019-05-15,AAPL,47.73,0
2019-05-16,AAPL,47.52,0
2019-05-17,AAPL,47.25,0
2019-05-20,AAPL,45.77,0
2019-05-21,AAPL,46.65,0
2019-05-22,AAPL,45.7,0
2019-05-23,AAPL,44.91,1
2019-05-24,AAPL,44.74,0
2019-05-28,AAPL,44.56,1
2019-05-29,AAPL,44.34,0
2019-05-30,AAPL,44.58,0
2019-05-31,AAPL,43.77,1
2019-06-03,AAPL,43.33,1
2019-06-04,AAPL,44.91,1
2019-06-05,AAPL,45.63,1
2019-06-06,AAPL,46.3,1
2019-06-07,AAPL,47.54,1
2019-06-10,AAPL,48.15,0
2019-06-11,AAPL,48.7,0
2019-06-12,AAPL,48.55,1
2019-06-13,AAPL,48.54,1
2019-06-14,AAPL,48.19,1
2019-06-17,AAPL,48.47,0
2019-06-18,AAPL,49.61,1
2019-06-19,AAPL,49.47,0
2019-06-20,AAPL,49.87,0
2019-06-21,AAPL,49.7,0
2019-06-24,AAPL,49.65,1
2019-06-25,AAPL,48.89,1
2019-06-26,AAPL,49.95,1
2019-06-27,AAPL,49.94,1
2019-06-28,AAPL,49.48,1
2019-07-01,AAPL,50.39,1
2019-07-02,AAPL,50.68,0
2019-07-03,AAPL,51.1,0
2019-07-05,AAPL,51.06,1
2019-07-08,AAPL,50.01,1
2019-07-09,AAPL,50.31,0
2019-07-10,AAPL,50.81,1
2019-07-11,AAPL,50.44,1
2019-07-12,AAPL,50.83,0
2019-07-15,AAPL,51.3,0
2019-07-16,AAPL,51.12,0
2019-07-17,AAPL,50.84,0
2019-07-18,AAPL,51.41,1
2019-07-19,AAPL,50.65,1
2019-07-22,AAPL,51.8,1
2019-07-23,AAPL,52.21,0
2019-07-24,AAPL,52.17,1
2019-07-25,AAPL,51.76,0
2019-07-26,AAPL,51.94,1
2019-07-29,AAPL,52.42,1
2019-07-30,AAPL,52.2,1
2019-07-31,AAPL,53.26,0
2019-08-01,AAPL,52.11,0
2019-08-02,AAPL,51.01,1
2019-08-05,AAPL,48.34,1
2019-08-06,AAPL,49.25,1
2019-08-07,AAPL,49.76,0
2019-08-08,AAPL,50.86,0
2019-08-09,AAPL,50.25,1
2019-08-12,AAPL,50.12,0
2019-08-13,AAPL,52.24,0
2019-08-14,AAPL,50.69,1
2019-08-15,AAPL,50.44,1
2019-08-16,AAPL,51.62,0
2019-08-19,AAPL,52.59,1
2019-08-20,AAPL,52.59,1
2019-08-21,AAPL,53.16,1
2019-08-22,AAPL,53.12,1
2019-08-23,AAPL,50.66,0
2019-08-26,AAPL,51.62,1
2019-08-27,AAPL,51.04,1
2019-08-28,AAPL,51.38,0
2019-08-29,AAPL,52.25,0
2019-08-30,AAPL,52.19,1
2019-09-03,AAPL,51.42,1
2019-09-04,AAPL,52.3,1
2019-09-05,AAPL,53.32,1
2019-09-06,AAPL,53.31,1
2019-09-09,AAPL,53.54,1
2019-09-10,AAPL,54.17,0
2019-09-11,AAPL,55.9,1
2019-09-12,AAPL,55.77,1
2019-09-13,AAPL,54.69,1
2019-09-16,AAPL,54.98,1
2019-09-17,AAPL,55.17,0
2019-09-18,AAPL,55.69,1
2019-09-19,AAPL,55.24,1
2019-09-20,AAPL,54.43,0
2019-09-23,AAPL,54.68,1
2019-09-24,AAPL,54.42,1
2019-09-25,AAPL,55.26,0
2019-09-26,AAPL,54.97,1
2019-09-27,AAPL,54.7,1
2019-09-30,AAPL,55.99,1
2019-10-01,AAPL,56.15,1
2019-10-02,AAPL,54.74,1
2019-10-03,AAPL,55.2,1
2019-10-04,AAPL,56.75,1
2019-10-07,AAPL,56.77,1
2019-10-08,AAPL,56.1,1
2019-10-09,AAPL,56.76,1
2019-10-10,AAPL,57.52,1
2019-10-11,AAPL,59.05,1
2019-10-14,AAPL,58.97,1
2019-10-15,AAPL,58.83,1
2019-10-16,AAPL,58.59,1
2019-10-17,AAPL,58.82,1
2019-10-18,AAPL,59.1,1
2019-10-21,AAPL,60.13,1
2019-10-22,AAPL,59.99,1
2019-10-23,AAPL,60.8,1
2019-10-24,AAPL,60.9,1
2019-10-25,AAPL,61.65,0
2019-10-28,AAPL,62.26,1
2019-10-29,AAPL,60.82,1
2019-10-30,AAPL,60.81,1
2019-10-31,AAPL,62.19,1
2019-11-01,AAPL,63.95,1
2019-11-04,AAPL,64.38,1
2019-11-05,AAPL,64.28,1
2019-11-06,AAPL,64.31,1
2019-11-07,AAPL,64.86,1
2019-11-08,AAPL,65.03,1
2019-11-11,AAPL,65.55,1
2019-11-12,AAPL,65.49,1
2019-11-13,AAPL,66.12,1
2019-11-14,AAPL,65.66,1
2019-11-15,AAPL,66.44,1
2019-11-18,AAPL,66.78,1
2019-11-19,AAPL,66.57,1
2019-11-20,AAPL,65.8,1
2019-11-21,AAPL,65.5,1
2019-11-22,AAPL,65.44,0
2019-11-25,AAPL,66.59,1
2019-11-26,AAPL,66.07,0
2019-11-27,AAPL,66.96,0
2019-11-29,AAPL,66.81,0
2019-12-02,AAPL,66.04,1
2019-12-03,AAPL,64.86,1
2019-12-04,AAPL,65.44,1
2019-12-05,AAPL,66.39,0
2019-12-06,AAPL,67.68,1
2019-12-09,AAPL,66.73,1
2019-12-10,AAPL,67.12,1
2019-12-11,AAPL,67.69,1
2019-12-12,AAPL,67.86,1
2019-12-13,AAPL,68.79,1
2019-12-16,AAPL,69.97,1
2019-12-17,AAPL,70.1,1
2019-12-18,AAPL,69.94,1
2019-12-19,AAPL,70.0,1
2019-12-20,AAPL,69.86,1
2019-12-23,AAPL,71.0,1
2019-12-24,AAPL,71.07,0
2019-12-26,AAPL,72.48,1
2019-12-27,AAPL,72.45,1
2019-12-30,AAPL,72.88,1
2019-12-31,AAPL,73.41,1
2020-01-02,AAPL,75.09,1
2020-01-03,AAPL,74.36,1
2020-01-06,AAPL,74.95,1
2020-01-07,AAPL,74.6,1
2020-01-08,AAPL,75.8,1
2020-01-09,AAPL,77.41,1
2020-01-10,AAPL,77.58,1
2020-01-13,AAPL,79.24,1
2020-01-14,AAPL,78.17,1
2020-01-15,AAPL,77.83,1
2020-01-16,AAPL,78.81,1
2020-01-17,AAPL,79.68,1
2020-01-21,AAPL,79.14,1
2020-01-22,AAPL,79.42,0
2020-01-23,AAPL,79.81,1
2020-01-24,AAPL,79.58,1
2020-01-27,AAPL,77.24,1
2020-01-28,AAPL,79.42,1
2020-01-29,AAPL,81.08,0
2020-01-30,AAPL,80.97,1
2020-01-31,AAPL,77.38,1
2020-02-03,AAPL,77.17,1
2020-02-04,AAPL,79.71,1
2020-02-05,AAPL,80.36,1
2020-02-06,AAPL,81.3,1
2020-02-07,AAPL,80.01,1
2020-02-10,AAPL,80.39,1
2020-02-11,AAPL,79.9,1
2020-02-12,AAPL,81.8,1
2020-02-13,AAPL,81.22,1
2020-02-14,AAPL,81.24,1
2020-02-18,AAPL,79.75,1
2020-02-19,AAPL,80.91,0
2020-02-20,AAPL,80.08,0
2020-02-21,AAPL,78.26,1
2020-02-24,AAPL,74.55,1
2020-02-25,AAPL,72.02,0
2020-02-26,AAPL,73.16,0
2020-02-27,AAPL,68.38,1
2020-02-28,AAPL,68.34,0
2020-03-02,AAPL,74.7,1
2020-03-03,AAPL,72.33,0
2020-03-04,AAPL,75.69,0
